PLACE|LONGITUDE|LATITUDE|COUNT
https://www.wikidata.org/wiki/Q131612|16.25|47.81667|209777
https://www.wikidata.org/wiki/Q1741|16.37306|48.20833|125038
https://www.wikidata.org/wiki/Q13298|15.43333|47.06667|122614
https://www.wikidata.org/wiki/Q2090|11.07778|49.45278|59489
https://www.wikidata.org/wiki/Q1794|8.679722|50.11361|52015
https://www.wikidata.org/wiki/Q41329|14.28333|48.3|43935
https://www.wikidata.org/wiki/Q1726|11.5755|48.13719|24947
https://www.wikidata.org/wiki/Q2978|12.08333|49.01667|19493
https://www.wikidata.org/wiki/Q365|6.957778|50.94222|18685
https://www.wikidata.org/wiki/Q2749|10.89833|48.37167|17776
https://www.wikidata.org/wiki/Q1735|11.39333|47.26833|10807
https://www.wikidata.org/wiki/Q6829|8.431111|49.31944|10706
https://www.wikidata.org/wiki/Q490058|7.401667|50.43972|8585
https://www.wikidata.org/wiki/Q1017|6.083788|50.77621|8181
https://www.wikidata.org/wiki/Q485294|15.09722|47.38167|8181
https://www.wikidata.org/wiki/Q1309|5.683333|50.86667|4949
https://www.wikidata.org/wiki/Q3974|12.15083|48.53972|4545
https://www.wikidata.org/wiki/Q641|12.33194|45.43972|4141
https://www.wikidata.org/wiki/Q164488|14.63444|46.66222|3939
https://www.wikidata.org/wiki/Q2999|9.929444|49.79444|3838
https://www.wikidata.org/wiki/Q22730|7.787778|48.81667|3434
https://www.wikidata.org/wiki/Q7042|11.84833|49.44444|3333
https://www.wikidata.org/wiki/Q3012|9.99155|48.39841|3131
https://www.wikidata.org/wiki/Q3786|9.310833|48.74056|3030
https://www.wikidata.org/wiki/Q220|12.48278|41.89306|2828
https://www.wikidata.org/wiki/Q3004|11.42611|48.76361|2626
https://www.wikidata.org/wiki/Q3376|11.11667|46.06667|2525
https://www.wikidata.org/wiki/Q3834|9.175278|47.66333|2424
https://www.wikidata.org/wiki/Q6259|9.155|45.18528|2323
https://www.wikidata.org/wiki/Q4190|13.46667|48.56667|2222
https://www.wikidata.org/wiki/Q130994|7.355|48.08111|2222
https://www.wikidata.org/wiki/Q6602|7.752222|48.57333|1818
https://www.wikidata.org/wiki/Q53742|10.77699|48.71843|1818
https://www.wikidata.org/wiki/Q659841|16.33306|48.34528|1818
https://www.wikidata.org/wiki/Q14960|16.60833|49.19528|1717
https://www.wikidata.org/wiki/Q153494|10.17889|49.37722|1717
https://www.wikidata.org/wiki/Q1296|3.725278|51.05361|1616
https://www.wikidata.org/wiki/Q589515|12.0409|49.2061|1515
https://www.wikidata.org/wiki/Q12892|4.399722|51.22111|1515
https://www.wikidata.org/wiki/Q2948|6.693889|51.20028|1515
https://www.wikidata.org/wiki/Q34713|13.04768|47.7972|1515
https://www.wikidata.org/wiki/Q3138|6.641389|49.75667|1414
https://www.wikidata.org/wiki/Q332952|9.158333|47.76667|1414
https://www.wikidata.org/wiki/Q523273|7.769444|50.06111|1414
https://www.wikidata.org/wiki/Q489911|7.58|48.02889|1414
https://www.wikidata.org/wiki/Q6832|9.611389|47.78306|1313
https://www.wikidata.org/wiki/Q1720|8.266667|50|1313
https://www.wikidata.org/wiki/Q2966|8.71|49.41222|1313
https://www.wikidata.org/wiki/Q1012|15.26413|46.22909|1212
https://www.wikidata.org/wiki/Q72|8.54|47.37861|1111
https://www.wikidata.org/wiki/Q61890|9.2575|48.94056|1111
https://www.wikidata.org/wiki/Q490|9.19|45.46694|1111
https://www.wikidata.org/wiki/Q3852|8.365278|49.63194|1010
https://www.wikidata.org/wiki/Q1022|9.1775|48.77611|1010
https://www.wikidata.org/wiki/Q131266|15.61667|48.41667|1010
https://www.wikidata.org/wiki/Q1721|8.24|50.0825|909
https://www.wikidata.org/wiki/Q430449|13.79944|47.91806|909
https://www.wikidata.org/wiki/Q390125|7.284722|50.57028|909
https://www.wikidata.org/wiki/Q183104|9.598333|47.23806|909
https://www.wikidata.org/wiki/Q13375|10.4|43.71667|808
https://www.wikidata.org/wiki/Q437|14.51667|46.05|808
https://www.wikidata.org/wiki/Q955|3.445278|51.27444|707
https://www.wikidata.org/wiki/Q3942|9.1478|49.97575|707
https://www.wikidata.org/wiki/Q3104|7.597778|50.35972|707
https://www.wikidata.org/wiki/Q260320|14.41667|48.05|707
https://www.wikidata.org/wiki/Q285879|7.895|49.96694|606
https://www.wikidata.org/wiki/Q22737|7.454167|48.25944|606
https://www.wikidata.org/wiki/Q78|7.590556|47.56056|606
https://www.wikidata.org/wiki/Q36378|7.15|46.8|606
https://www.wikidata.org/wiki/Q241889|12.3|50|606
https://www.wikidata.org/wiki/Q255012|13.43167|48.45694|606
https://www.wikidata.org/wiki/Q61942|9.766667|49.5|505
https://www.wikidata.org/wiki/Q483522|13.83333|46.61667|505
https://www.wikidata.org/wiki/Q6606|12.6563|45.9626|505
https://www.wikidata.org/wiki/Q13373|10.51667|43.85|505
https://www.wikidata.org/wiki/Q486548|7.230556|50.57861|505
https://www.wikidata.org/wiki/Q131605|11.16389|46.66889|505
https://www.wikidata.org/wiki/Q13362|11.61987|44.8353|505
https://www.wikidata.org/wiki/Q534634|12.18083|49.45333|404
https://www.wikidata.org/wiki/Q3936|10.89167|49.89167|404
https://www.wikidata.org/wiki/Q263107|14.66028|47.1725|404
https://www.wikidata.org/wiki/Q491535|9.163056|49.23056|404
https://www.wikidata.org/wiki/Q455645|7.3525|47.86556|404
https://www.wikidata.org/wiki/Q251065|13.78278|47.61|404
https://www.wikidata.org/wiki/Q518690|8.360278|49.85556|404
https://www.wikidata.org/wiki/Q489902|10.5|48.85|404
https://www.wikidata.org/wiki/Q586|7.099722|50.73389|404
https://www.wikidata.org/wiki/Q487500|13.49583|46.79167|404
https://www.wikidata.org/wiki/Q1021|14.35561|46.23887|404
https://www.wikidata.org/wiki/Q14910|9.7375|49.11222|303
https://www.wikidata.org/wiki/Q6998|11.74889|48.40278|303
https://www.wikidata.org/wiki/Q2833|7.849722|47.99472|303
https://www.wikidata.org/wiki/Q498212|9.270833|47.69583|303
https://www.wikidata.org/wiki/Q1780|17.11278|48.14472|303
https://www.wikidata.org/wiki/Q752107|16.94194|48.14778|303
https://www.wikidata.org/wiki/Q569639|7.605556|50.30111|303
https://www.wikidata.org/wiki/Q13121|4.033333|50.93333|303
https://www.wikidata.org/wiki/Q7027|12.57583|48.87722|303
https://www.wikidata.org/wiki/Q6231|10.03333|45.13333|303
https://www.wikidata.org/wiki/Q269667|7.795833|47.55389|303
https://www.wikidata.org/wiki/Q3994|10.31667|47.73333|303
https://www.wikidata.org/wiki/Q79815|7.339167|47.74861|303
https://www.wikidata.org/wiki/Q494733|9.19055|50.20268|303
https://www.wikidata.org/wiki/Q262669|12.83333|48.16667|303
https://www.wikidata.org/wiki/Q572921|10.43333|48.56667|303
https://www.wikidata.org/wiki/Q385567|15.2851|47.1351|202
https://www.wikidata.org/wiki/Q253359|11.1|47.56667|202
https://www.wikidata.org/wiki/Q259617|12.23333|48.06083|202
https://www.wikidata.org/wiki/Q68965|7.5375|47.20806|202
https://www.wikidata.org/wiki/Q22636|7.946111|49.0375|202
https://www.wikidata.org/wiki/Q494299|10.86893|48.05277|202
https://www.wikidata.org/wiki/Q22953|7.966667|49.20333|202
https://www.wikidata.org/wiki/Q491743|10.31944|49.07083|202
https://www.wikidata.org/wiki/Q4072|9.652778|48.7025|202
https://www.wikidata.org/wiki/Q278312|13.18833|48.63306|202
https://www.wikidata.org/wiki/Q251678|11.13333|48.45|202
https://www.wikidata.org/wiki/Q491641|12.12833|49.12361|202
https://www.wikidata.org/wiki/Q257859|12.66583|49.21833|202
https://www.wikidata.org/wiki/Q871356|14.79889|46.59|202
https://www.wikidata.org/wiki/Q70|7.44743|46.94798|202
https://www.wikidata.org/wiki/Q185541|11.65|46.71667|202
https://www.wikidata.org/wiki/Q521148|7.590833|50.23139|202
https://www.wikidata.org/wiki/Q546459|12.6|49.16667|202
https://www.wikidata.org/wiki/Q546|13.80417|45.63611|101
https://www.wikidata.org/wiki/Q14950|8.883333|49.25|101
https://www.wikidata.org/wiki/Q1010|15.63333|46.55|101
https://www.wikidata.org/wiki/Q502681|9.264444|49.70389|101
https://www.wikidata.org/wiki/Q509536|12.6913|48.6749|101
https://www.wikidata.org/wiki/Q4178|8.5|50.56667|101
https://www.wikidata.org/wiki/Q503160|11.42778|47.91333|101
https://www.wikidata.org/wiki/Q162022|4.466667|51.01667|101
https://www.wikidata.org/wiki/Q7052|8.123056|49.19944|101
https://www.wikidata.org/wiki/Q178582|14.01667|48.15|101
https://www.wikidata.org/wiki/Q3085|9.216667|48.48333|101
https://www.wikidata.org/wiki/Q534476|7.820278|50.66139|101
https://www.wikidata.org/wiki/Q490665|10.94639|50.83417|101
https://www.wikidata.org/wiki/Q193719|12.374|50.07976|101
https://www.wikidata.org/wiki/Q4037|9.8|48.8|101
https://www.wikidata.org/wiki/Q225909|12.5|48.63333|101
https://www.wikidata.org/wiki/Q125652|11.18333|48.73333|101
https://www.wikidata.org/wiki/Q14859|10.58333|49.3|101
https://www.wikidata.org/wiki/Q82960|8.624722|48.16806|101
https://www.wikidata.org/wiki/Q275193|8.120069|50.025|101
https://www.wikidata.org/wiki/Q131128|13.03333|48.25833|101
https://www.wikidata.org/wiki/Q278447|15.06667|48.16667|101
https://www.wikidata.org/wiki/Q61912|9.516669|49.75|101
https://www.wikidata.org/wiki/Q16015|8.850556|48.27306|101
https://www.wikidata.org/wiki/Q37776|6.021389|47.24222|101
https://www.wikidata.org/wiki/Q90|2.351389|48.85694|101
https://www.wikidata.org/wiki/Q16069|9.788611|48.09806|101
https://www.wikidata.org/wiki/Q4007|12.12889|47.85611|101
https://www.wikidata.org/wiki/Q15917|15.57073|46.39414|101
